latitude,longitude,acq_date,confidence,frp,daynight
51.04242,2.29621,2026-05-16,n,3.55,N
51.04321,2.29057,2026-05-16,n,3.55,N
51.04497,2.30302,2026-05-16,n,0.83,N
51.04576,2.29738,2026-05-16,n,3.55,N
51.16566,3.8124,2026-05-16,n,6.07,N
51.16649,3.80695,2026-05-16,n,1.81,N
51.16682,4.3314,2026-05-16,n,1.08,N
51.1681,3.8191,2026-05-16,n,1.99,N
51.16893,3.81366,2026-05-16,n,1.99,N
51.16976,3.80822,2026-05-16,n,3.35,N
51.1706,3.80277,2026-05-16,n,3.35,N
51.17303,3.80948,2026-05-16,n,3.35,N
51.17386,3.80403,2026-05-16,n,3.35,N
51.1763,3.81074,2026-05-16,n,0.74,N
51.26707,4.32633,2026-05-16,n,0.88,N
36.86286,6.95908,2026-05-16,n,0.74,N
38.20284,15.26618,2026-05-16,n,1.59,N
38.37692,-0.54377,2026-05-16,n,1.01,N
38.91994,-9.01192,2026-05-16,n,2.65,N
38.92154,-9.0116,2026-05-16,n,2.07,N
39.93592,-3.74761,2026-05-16,n,0.67,N
40.5052,17.20886,2026-05-16,n,2.16,N
40.57795,0.54375,2026-05-16,n,0.7,N
41.3079,0.62301,2026-05-16,n,0.73,N
41.45585,1.97864,2026-05-16,n,0.49,N
41.47671,-1.48928,2026-05-16,n,0.62,N
41.53596,-3.11925,2026-05-16,n,1.18,N
41.53885,-3.11308,2026-05-16,n,1.1,N
41.92481,0.17983,2026-05-16,n,0.62,N
42.5514,-6.76822,2026-05-16,n,1.16,N
42.55359,-6.76718,2026-05-16,n,0.4,N
43.18637,0.99157,2026-05-16,n,0.64,N
43.4349,4.89357,2026-05-16,n,0.96,N
43.43935,4.88955,2026-05-16,n,1.19,N
43.44278,4.89079,2026-05-16,n,1.19,N
43.44521,4.89728,2026-05-16,n,12.04,N
43.44622,4.89202,2026-05-16,n,6.97,N
43.44865,4.89852,2026-05-16,n,12.04,N
35.02507,-3.39302,2026-05-16,n,0.67,N
35.0257,-3.39742,2026-05-16,n,0.67,N
35.31091,-1.34536,2026-05-16,n,0.61,N
35.34789,5.76108,2026-05-16,n,2.9,N
35.45937,-0.3955,2026-05-16,n,0.82,N
35.50935,-0.59439,2026-05-16,n,0.38,N
35.52794,-0.27855,2026-05-16,n,0.85,N
35.53123,-0.27769,2026-05-16,n,0.85,N
35.70858,4.47475,2026-05-16,n,0.89,N
35.76138,-0.26817,2026-05-16,n,1.07,N
35.76397,-0.26308,2026-05-16,n,1.67,N
35.78313,0.53942,2026-05-16,n,0.57,N
35.80305,-0.21426,2026-05-16,n,0.74,N
35.80474,-0.24494,2026-05-16,n,1.38,N
35.80688,-0.25774,2026-05-16,n,0.75,N
35.80947,-0.25264,2026-05-16,n,0.9,N
35.80993,-0.23474,2026-05-16,n,0.72,N
35.81018,-0.2569,2026-05-16,n,0.9,N
35.81303,-0.27395,2026-05-16,n,0.39,N
35.81562,-0.26884,2026-05-16,n,0.39,N
36.17954,-5.42547,2026-05-16,n,1.17,N
36.18049,3.74906,2026-05-16,n,0.96,N
36.59742,3.13905,2026-05-16,n,0.58,N
36.59811,2.88081,2026-05-16,n,0.98,N
36.67988,3.12262,2026-05-16,n,0.99,N
36.74914,3.07987,2026-05-16,n,1.03,N
36.96674,-1.90341,2026-05-16,n,1.89,N
37.98834,-8.12396,2026-05-16,n,1.26,N
38.62655,-9.07843,2026-05-16,n,0.69,N
38.62777,-9.07886,2026-05-16,n,1.43,N
38.63118,-9.07787,2026-05-16,n,0.69,N
51.16538,3.81118,2026-05-16,n,2.15,N
51.17388,3.80682,2026-05-16,n,2.66,N
51.17572,3.80781,2026-05-16,n,0.95,N
52.48202,4.59218,2026-05-16,n,2.53,N
52.4898,4.61543,2026-05-16,n,2.31,N
52.49382,4.60585,2026-05-16,n,2.43,N
52.49508,4.61279,2026-05-16,n,3.76,N
53.63425,-0.24446,2026-05-16,n,1.58,N
53.63552,-0.24046,2026-05-16,n,1.49,N
51.03424,2.29248,2026-05-16,n,1.89,N
51.03518,2.28776,2026-05-16,n,2.21,N
38.92082,-9.0126,2026-05-16,n,1.14,N
38.92229,-9.00958,2026-05-16,n,0.98,N
51.89226,29.34568,2026-05-16,n,5.45,D
64.66531,21.2811,2026-05-16,n,3.84,D
65.56297,22.2324,2026-05-16,n,1.96,D
65.56409,22.21896,2026-05-16,n,9.39,D
70.69241,23.59802,2026-05-16,n,1.98,D
70.69372,23.58387,2026-05-16,l,1.98,D
35.2075,11.1065,2026-05-16,n,1.14,D
36.86684,6.98331,2026-05-16,n,5.36,D
36.87037,6.98183,2026-05-16,n,5.93,D
37.43797,15.03125,2026-05-16,l,2.43,D
38.73785,26.93254,2026-05-16,n,3.63,D
39.08425,9.01916,2026-05-16,l,2.27,D
42.71494,24.17614,2026-05-16,l,3.71,D
42.79602,24.74964,2026-05-16,n,4.07,D
45.21222,28.85439,2026-05-16,n,18.12,D
45.21706,28.85383,2026-05-16,n,123.47,D
45.6121,9.40133,2026-05-16,n,2.8,D
45.61228,8.91762,2026-05-16,n,3.07,D
45.61248,8.91977,2026-05-16,n,2.48,D
48.36772,27.26052,2026-05-16,n,3.67,D
49.52829,12.80858,2026-05-16,n,3.05,D
49.65287,28.37817,2026-05-16,n,15.91,D
49.65331,28.38662,2026-05-16,n,22.79,D
49.6578,28.37759,2026-05-16,n,10.07,D
51.46299,13.53736,2026-05-16,n,3.96,D
51.59319,13.8176,2026-05-16,n,6.86,D
